case_id,annotator,diagnosis,confidence,other_signs,notes
HOLD_10,R1,Rice_Root_Nematode,high,,
FIELD_07,R1,Other,medium,garis cokelat kemerahan difus sepanjang pelepah; lesi menyatu menutupi sebagian besar pelepah; keluarnya malai terhambat,Lesi pelepah yang menghambat keluarnya malai paling sesuai busuk pelepah (Sarocladium). Diferensial: hawar pelepah.
HOLD_09,R1,False_Smut,high,1–20 gabah terinfeksi per malai; massa spora >2 kali diameter gabah normal,Infeksi ringan pada malai tidak dipilih karena definisinya mensyaratkan lesi kecil pada glume.
FIELD_08,R1,Other,low,kematian bibit; malformasi tanaman berat; daun bergaris (warna tidak disebut),Malformasi berat dan daun bergaris tidak khas keenam kelas; mengarah ke virosis lain (mis. rice stripe necrosis). Bukti lemah karena warna garis tidak disebut.
FIELD_19,R1,Other,high,nekrosis ujung daun cokelat-hitam; ujung daun muda terpilin dan keriput; daun bendera terpilin menghambat perkembangan malai,"Ujung daun memutih lalu terpilin khas nematoda ujung putih (Aphelenchoides besseyi), di luar 6 kelas."
HOLD_16,R1,Rice_Tungro_Virus,low,warna daun kuning kecokelatan,Hanya perubahan warna daun; kerdil tidak disebut. Diferensial: defisiensi hara dan orange leaf.
FIELD_21,R1,Other,medium,lesi tembus cahaya (translucent),Lesi tembus cahaya bergaris dengan eksudat lebih sesuai bacterial leaf streak daripada hawar daun bakteri. Posisi lesi (antartulang/tepi) tidak disebut.
FIELD_25,R1,Undetermined,low,reduksi panjang akar 21–48%,"Layu bibit generik dan perubahan warna akar tidak spesifik. Diferensial: jamur tular tanah, Hirschmanniella."
FIELD_51,R1,Rice_Tungro_Virus,medium,anakan berkurang,"Kuning-oranye, sangat kerdil, dan anakan berkurang konsisten tungro. Anakan berkurang menyingkirkan kerdil rumput."
FIELD_13,R1,Other,medium,bercak bulat hitam 3–4 mm; 8–10 bercak per daun,"Bercak bulat hitam kecil tidak sesuai lesi blas; lebih sesuai bercak daun jamur lain (bercak cokelat, dll.)."
HOLD_01,R1,Bacterial_Leaf_Blight,high,insidensi hingga 30–50%,Lesi kebasahan dan kuning di tepi serta ujung daun khas hawar daun bakteri.
FIELD_27,R1,Undetermined,low,,
HOLD_15,R1,False_Smut,high,bola spora mengeras saat masak,"Warna hanya disebut ""hijau"". Dipetakan ke tahap muda (bola beludru membesar) karena warna gelap-hitam tidak disebut."
FIELD_20,R1,Other,medium,garis tembus cahaya (translucent stripes),"Kombinasi garis tembus cahaya, garis kuning-cokelat, dan eksudat lebih sesuai bacterial leaf streak. ""Translucent stripes"" tidak dipetakan ke klorosis antartulang karena posisi antartulang tidak disebut."
FIELD_33,R1,Rice_Root_Nematode,high,tanaman tumbuh tidak normal (maldeveloped),"Ujung akar berkait khas M. graminicola. ""Maldeveloped"" tidak dipetakan ke kerdil."
FIELD_31,R1,Other,medium,lesi kebasahan pada koleoptil; garis cokelat pada tulang tengah daun,"Bibit dengan koleoptil kebasahan dan garis cokelat pada pelepah dan tulang tengah khas bacterial brown stripe (Acidovorax), di luar 6 kelas."
HOLD_02,R1,Rice_Root_Nematode,high,betina berbentuk buah pir di akar; gejala muncul sekitar 30 HST,"Puru dan ujung akar berkait, ditambah betina berbentuk pir, mendukung kuat nematoda puru akar."
FIELD_03,R1,Bacterial_Leaf_Blight,high,lesi berwarna kuning hingga keabuan,"Lesi kebasahan dari ujung, meluas sepanjang tulang tengah/tepi daun, dengan tetesan eksudat kuning: khas hawar daun bakteri."
HOLD_06,R1,Undetermined,low,,
FIELD_04,R1,Rice_Root_Nematode,high,,
FIELD_17,R1,Other,medium,anakan berkurang; serangan berupa petak kecil <10% hamparan,"Belang daun, kerdil, dan anakan berkurang lebih konsisten RYMV. Tungro tetap diferensial, tetapi belang bukan gejala utamanya."
FIELD_52,R1,Rice_Tungro_Virus,high,,
FIELD_05,R1,False_Smut,high,bola spora diselubungi membran oranye tipis yang pecah melepas spora serbuk,Infeksi ringan pada malai tidak dipilih karena definisinya menyangkut lesi pada glume. Ukuran 2–5 cm kemungkinan salah tulis.
FIELD_23,R1,Other,medium,busuk menyebar dari daerah ligula,"Busuk anakan cokelat gelap dari daerah ligula mengarah ke busuk batang/pangkal batang (jamur atau bakteri), di luar 6 kelas."
HOLD_03,R1,False_Smut,high,malai hampa seluruhnya pada serangan berat,Transisi kuning-oranye ke hijau zaitun dicatat sebagai dua tahap bola spora.
HOLD_04,R1,Other,low,"pertumbuhan menyebar (spreading); daun bergerigi, terpilin, dan keriting; insidensi ~90%","Kuning-oranye dan kerdil mengarah ke tungro, tetapi daun bergerigi/terpilin khas kerdil hampa; kemungkinan infeksi campuran atau virus lain. Serangan merata tidak dipilih karena tidak dinyatakan eksplisit."
HOLD_07,R1,Rice_Blast,high,lesi menyatu menyebabkan nekrosis luas dan kematian seluruh jaringan di atas tanah,Lesi belah ketupat abu-abu bertepi cokelat gelap khas blas.
FIELD_32,R1,Bacterial_Leaf_Blight,medium,lesi nekrotik memutih dengan tepi bergelombang; insidensi sekitar 5%,Klorosis dari ujung ke pangkal dengan tepi lesi bergelombang sesuai hawar daun bakteri. Lesi kebasahan dan eksudat tidak disebut; diferensial: leaf scald.
HOLD_14,R1,Rice_Tungro_Virus,low,anakan sedikit; bercak karat; helai daun pendek; kelainan tulang tengah daun,"Kerdil, menguning, anakan sedikit, dan bercak karat konsisten tungro. Namun teks kurang jelas dan warna oranye tidak disebut."
FIELD_36,R1,Bacterial_Leaf_Blight,high,daun terserang berat berwarna cokelat keabuan,Garis kebasahan di bawah ujung dan di tepi daun yang kemudian menguning khas hawar daun bakteri.
FIELD_18,R1,Other,medium,malai tegak,Malai tegak dengan gabah bernoda dan hampa sesuai hawar malai bakteri (Burkholderia glumae). Diferensial: busuk pelepah.
FIELD_34,R1,Rice_Root_Nematode,high,tanaman jarang (thinning); betina dan massa telur nematoda di dalam korteks akar,Ujung akar berbentuk kait disertai kerdil dan klorosis khas M. graminicola. Massa telur nematoda tidak dicatat sebagai telur serangga.
FIELD_15,R1,Other,medium,malai berwarna abu-abu jerami,"Malai tegak, berwarna jerami, hampa, dengan gabah busuk: sesuai hawar malai bakteri. Diferensial: blas leher, busuk pelepah."
FIELD_12,R1,Other,low,,
