case_id,annotator,term
HOLD_10,R1,Hook_Like_Root_Swelling
FIELD_07,R1,Leaf_Sheath_Lesions
FIELD_07,R1,Necrotic_Spots
HOLD_09,R1,Rusty_Grain_Balls
HOLD_09,R1,Blackened_Grain_Balls
FIELD_08,R1,Infected_Seedlings
FIELD_19,R1,Whitened_Leaf_Tips
FIELD_19,R1,Yellowing_Leaf_Tips
FIELD_19,R1,Stunted_Growth
HOLD_16,R1,Orange_Leaf_Discoloration
HOLD_16,R1,Yellowing_Leaves
FIELD_21,R1,Water_Soaked_Lesions
FIELD_21,R1,Bacterial_Ooze
FIELD_21,R1,Brown_Streaks
FIELD_25,R1,Infected_Seedlings
FIELD_25,R1,Leaf_Wilting
FIELD_25,R1,Discolored_Roots
FIELD_51,R1,Orange_Leaf_Discoloration
FIELD_51,R1,Severe_Stunting
FIELD_13,R1,Necrotic_Spots
HOLD_01,R1,Water_Soaked_Lesions
HOLD_01,R1,Leaf_Discoloration_Yellow
HOLD_01,R1,Yellowing_Leaf_Tips
FIELD_27,R1,Yellowing_Leaves
FIELD_27,R1,Leaf_Mottling
HOLD_15,R1,Rusty_Grain_Balls
FIELD_20,R1,Water_Soaked_Lesions
FIELD_20,R1,Brown_Streaks
FIELD_20,R1,Bacterial_Ooze
FIELD_33,R1,Hook_Like_Root_Swelling
FIELD_33,R1,Yellowing_Leaves
FIELD_31,R1,Infected_Seedlings
FIELD_31,R1,Water_Soaked_Lesions
FIELD_31,R1,Brown_Streaks
FIELD_31,R1,Leaf_Sheath_Lesions
HOLD_02,R1,Hook_Like_Root_Swelling
HOLD_02,R1,Root_Knot_Swelling
HOLD_02,R1,Yellowing_Leaves
FIELD_03,R1,Water_Soaked_Lesions
FIELD_03,R1,Yellowing_Leaf_Tips
FIELD_03,R1,Leaf_Discoloration_Yellow
FIELD_03,R1,Yellowing_Leaf_Veins
FIELD_03,R1,Bacterial_Ooze
FIELD_03,R1,Leaf_Desiccation
HOLD_06,R1,Yellowing_Leaves
FIELD_04,R1,Hook_Like_Root_Swelling
FIELD_04,R1,Root_Knot_Swelling
FIELD_04,R1,Infected_Seedlings
FIELD_17,R1,Leaf_Mottling
FIELD_17,R1,Stunted_Growth
FIELD_52,R1,Orange_Leaf_Discoloration
FIELD_52,R1,Yellowing_Leaves
FIELD_52,R1,Stunted_Growth
FIELD_52,R1,Green_Leafhopper_Present
FIELD_05,R1,Rusty_Grain_Balls
FIELD_05,R1,Blackened_Grain_Balls
FIELD_23,R1,Stem_Rot_Lesions
FIELD_23,R1,Leaf_Sheath_Lesions
HOLD_03,R1,Rusty_Grain_Balls
HOLD_03,R1,Blackened_Grain_Balls
HOLD_03,R1,Empty_Grains
HOLD_04,R1,Orange_Leaf_Discoloration
HOLD_04,R1,Stunted_Growth
HOLD_07,R1,Diamond_Shaped_Lesions
FIELD_32,R1,Yellowing_Leaf_Tips
FIELD_32,R1,Leaf_Desiccation
HOLD_14,R1,Severe_Stunting
HOLD_14,R1,Yellowing_Leaves
HOLD_14,R1,Necrotic_Spots
FIELD_36,R1,Water_Soaked_Lesions
FIELD_36,R1,Leaf_Discoloration_Yellow
FIELD_36,R1,Yellowing_Leaf_Tips
FIELD_18,R1,Empty_Grains
FIELD_18,R1,Grain_Discoloration
FIELD_34,R1,Hook_Like_Root_Swelling
FIELD_34,R1,Stunted_Growth
FIELD_34,R1,Yellowing_Leaves
FIELD_15,R1,Whitehead_Empty_Panicles
FIELD_15,R1,Rotten_Panicles
FIELD_12,R1,Yellowing_Leaves
FIELD_12,R1,Leaf_Mottling
HOLD_11,R1,Diamond_Shaped_Lesions
HOLD_20,R1,Root_Knot_Swelling
HOLD_20,R1,Yellowing_Leaves
HOLD_20,R1,Stunted_Growth
FIELD_02,R1,Panicle_Neck_Rot
FIELD_02,R1,Empty_Grains
FIELD_16,R1,Water_Soaked_Lesions
FIELD_16,R1,Yellowing_Leaves
FIELD_16,R1,Leaf_Wilting
FIELD_16,R1,Leaf_Desiccation
HOLD_18,R1,Diamond_Shaped_Lesions
FIELD_01,R1,Water_Soaked_Lesions
FIELD_01,R1,Necrotic_Spots
FIELD_30,R1,Yellowing_Leaves
FIELD_30,R1,Leaf_Mottling
FIELD_28,R1,Necrotic_Spots
FIELD_14,R1,Necrotic_Spots
FIELD_10,R1,Yellowing_Leaves
FIELD_10,R1,Leaf_Mottling
FIELD_35,R1,Water_Soaked_Lesions
FIELD_35,R1,Leaf_Discoloration_Yellow
FIELD_35,R1,Yellowing_Leaf_Tips
FIELD_26,R1,Water_Soaked_Lesions
FIELD_26,R1,Necrotic_Spots
FIELD_26,R1,Stem_Rot_Lesions
FIELD_26,R1,Leaf_Desiccation
HOLD_12,R1,Rusty_Grain_Balls
HOLD_12,R1,Blackened_Grain_Balls
FIELD_11,R1,Chlorotic_Streaks
FIELD_22,R1,Grain_Discoloration
FIELD_29,R1,Water_Soaked_Lesions
FIELD_29,R1,Chlorotic_Streaks
FIELD_29,R1,Bacterial_Ooze
HOLD_13,R1,Water_Soaked_Lesions
HOLD_08,R1,Diamond_Shaped_Lesions
HOLD_05,R1,Stunted_Growth
HOLD_05,R1,Yellowing_Leaves
FIELD_09,R1,Yellowing_Leaves
FIELD_09,R1,Leaf_Mottling
FIELD_53,R1,Severe_Stunting
FIELD_53,R1,Excessive_Tillering
FIELD_53,R1,Yellowing_Leaves
FIELD_06,R1,Water_Soaked_Lesions
FIELD_06,R1,Necrotic_Spots
FIELD_06,R1,Grain_Discoloration
HOLD_15,R2,Rusty_Grain_Balls
HOLD_11,R2,Diamond_Shaped_Lesions
FIELD_10,R2,Yellowing_Leaves
FIELD_10,R2,Leaf_Mottling
HOLD_01,R2,Water_Soaked_Lesions
HOLD_01,R2,Leaf_Discoloration_Yellow
HOLD_01,R2,Yellowing_Leaf_Tips
FIELD_05,R2,Rusty_Grain_Balls
FIELD_05,R2,Blackened_Grain_Balls
FIELD_05,R2,Slight_Panicle_Infection
FIELD_11,R2,Chlorotic_Streaks
FIELD_29,R2,Water_Soaked_Lesions
FIELD_29,R2,Chlorotic_Streaks
FIELD_29,R2,Interveinal_Chlorosis
FIELD_29,R2,Bacterial_Ooze
HOLD_03,R2,Rusty_Grain_Balls
HOLD_03,R2,Blackened_Grain_Balls
HOLD_03,R2,Empty_Grains
FIELD_36,R2,Water_Soaked_Lesions
FIELD_36,R2,Yellowing_Leaf_Tips
FIELD_36,R2,Leaf_Discoloration_Yellow
FIELD_04,R2,Hook_Like_Root_Swelling
FIELD_04,R2,Infected_Seedlings
HOLD_04,R2,Stunted_Growth
HOLD_04,R2,Orange_Leaf_Discoloration
FIELD_08,R2,Infected_Seedlings
HOLD_06,R2,Yellowing_Leaves
FIELD_30,R2,Yellowing_Leaves
FIELD_30,R2,Leaf_Mottling
FIELD_12,R2,Yellowing_Leaves
FIELD_12,R2,Leaf_Mottling
FIELD_18,R2,Empty_Grains
FIELD_18,R2,Grain_Discoloration
FIELD_53,R2,Severe_Stunting
FIELD_53,R2,Excessive_Tillering
FIELD_53,R2,Yellowing_Leaves
FIELD_19,R2,Whitened_Leaf_Tips
FIELD_19,R2,Yellowing_Leaf_Tips
FIELD_19,R2,Stunted_Growth
FIELD_27,R2,Yellowing_Leaves
FIELD_27,R2,Leaf_Mottling
FIELD_01,R2,Water_Soaked_Lesions
FIELD_01,R2,Necrotic_Spots
FIELD_34,R2,Stunted_Growth
FIELD_34,R2,Yellowing_Leaves
FIELD_34,R2,Hook_Like_Root_Swelling
FIELD_03,R2,Water_Soaked_Lesions
FIELD_03,R2,Yellowing_Leaf_Tips
FIELD_03,R2,Yellowing_Leaf_Veins
FIELD_03,R2,Leaf_Discoloration_Yellow
FIELD_03,R2,Leaf_Desiccation
FIELD_03,R2,Bacterial_Ooze
FIELD_07,R2,Leaf_Sheath_Lesions
FIELD_07,R2,Necrotic_Spots
FIELD_07,R2,Brown_Streaks
FIELD_26,R2,Water_Soaked_Lesions
FIELD_26,R2,Necrotic_Spots
FIELD_26,R2,Stem_Rot_Lesions
FIELD_16,R2,Water_Soaked_Lesions
FIELD_16,R2,Yellowing_Leaves
FIELD_16,R2,Leaf_Wilting
FIELD_16,R2,Leaf_Desiccation
HOLD_14,R2,Severe_Stunting
HOLD_14,R2,Yellowing_Leaves
HOLD_14,R2,Necrotic_Spots
FIELD_52,R2,Stunted_Growth
FIELD_52,R2,Yellowing_Leaves
FIELD_52,R2,Orange_Leaf_Discoloration
FIELD_52,R2,Green_Leafhopper_Present
FIELD_02,R2,Panicle_Neck_Rot
FIELD_02,R2,Empty_Grains
FIELD_23,R2,Stem_Rot_Lesions
FIELD_23,R2,Leaf_Sheath_Lesions
FIELD_22,R2,Grain_Discoloration
HOLD_02,R2,Yellowing_Leaves
HOLD_02,R2,Hook_Like_Root_Swelling
FIELD_15,R2,Empty_Grains
FIELD_15,R2,Rotten_Panicles
FIELD_15,R2,Grain_Discoloration
HOLD_20,R2,Yellowing_Leaves
HOLD_20,R2,Stunted_Growth
HOLD_20,R2,Root_Knot_Swelling
HOLD_09,R2,Rusty_Grain_Balls
HOLD_09,R2,Blackened_Grain_Balls
FIELD_28,R2,Necrotic_Spots
FIELD_31,R2,Infected_Seedlings
FIELD_31,R2,Water_Soaked_Lesions
FIELD_31,R2,Brown_Streaks
FIELD_31,R2,Leaf_Sheath_Lesions
FIELD_25,R2,Leaf_Wilting
FIELD_25,R2,Infected_Seedlings
FIELD_25,R2,Discolored_Roots
FIELD_25,R2,Deformed_Roots
FIELD_14,R2,Necrotic_Spots
FIELD_13,R2,Necrotic_Spots
HOLD_12,R2,Rusty_Grain_Balls
HOLD_12,R2,Blackened_Grain_Balls
HOLD_07,R2,Diamond_Shaped_Lesions
FIELD_33,R2,Yellowing_Leaves
FIELD_33,R2,Hook_Like_Root_Swelling
FIELD_20,R2,Water_Soaked_Lesions
FIELD_20,R2,Interveinal_Chlorosis
FIELD_20,R2,Brown_Streaks
FIELD_20,R2,Bacterial_Ooze
FIELD_09,R2,Yellowing_Leaves
FIELD_09,R2,Leaf_Mottling
HOLD_18,R2,Diamond_Shaped_Lesions
HOLD_10,R2,Hook_Like_Root_Swelling
HOLD_13,R2,Water_Soaked_Lesions
FIELD_17,R2,Leaf_Mottling
FIELD_17,R2,Stunted_Growth
HOLD_05,R2,Stunted_Growth
HOLD_05,R2,Yellowing_Leaves
FIELD_32,R2,Yellowing_Leaf_Tips
FIELD_32,R2,Leaf_Bleaching
HOLD_16,R2,Orange_Leaf_Discoloration
HOLD_16,R2,Yellowing_Leaves
HOLD_08,R2,Diamond_Shaped_Lesions
FIELD_35,R2,Water_Soaked_Lesions
FIELD_35,R2,Leaf_Discoloration_Yellow
FIELD_35,R2,Yellowing_Leaf_Tips
FIELD_51,R2,Orange_Leaf_Discoloration
FIELD_51,R2,Severe_Stunting
FIELD_06,R2,Water_Soaked_Lesions
FIELD_06,R2,Necrotic_Spots
FIELD_06,R2,Grain_Discoloration
FIELD_21,R2,Water_Soaked_Lesions
FIELD_21,R2,Interveinal_Chlorosis
FIELD_21,R2,Brown_Streaks
FIELD_21,R2,Bacterial_Ooze
