case_id,annotator_1,annotator_2,notes
FIELD_01,Other,Other,
FIELD_02,Rice_Blast,Rice_Blast,
FIELD_03,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
FIELD_04,Rice_Root_Nematode,Rice_Root_Nematode,
FIELD_05,False_Smut,False_Smut,
FIELD_06,Other,Other,
FIELD_07,Other,Other,
FIELD_08,Other,Undetermined,
FIELD_09,Other,Other,
FIELD_10,Other,Other,
FIELD_11,Undetermined,Undetermined,
FIELD_12,Other,Other,
FIELD_13,Other,Other,
FIELD_14,Other,Other,
FIELD_15,Other,Other,
FIELD_16,Bacterial_Leaf_Blight,Other,
FIELD_17,Other,Other,
FIELD_18,Other,Other,
FIELD_19,Other,Other,
FIELD_20,Other,Other,
FIELD_21,Other,Other,
FIELD_22,Other,Other,
FIELD_23,Other,Other,
FIELD_25,Undetermined,Other,
FIELD_26,Other,Other,
FIELD_27,Undetermined,Undetermined,
FIELD_28,Rice_Blast,Rice_Blast,
FIELD_29,Other,Other,
FIELD_30,Other,Other,
FIELD_31,Other,Other,
FIELD_32,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
FIELD_33,Rice_Root_Nematode,Rice_Root_Nematode,
FIELD_34,Rice_Root_Nematode,Rice_Root_Nematode,
FIELD_35,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
FIELD_36,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
FIELD_51,Rice_Tungro_Virus,Rice_Tungro_Virus,
FIELD_52,Rice_Tungro_Virus,Rice_Tungro_Virus,
FIELD_53,Rice_Grassy_Stunt,Rice_Grassy_Stunt,
HOLD_01,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
HOLD_02,Rice_Root_Nematode,Rice_Root_Nematode,
HOLD_03,False_Smut,False_Smut,
HOLD_04,Other,Undetermined,
HOLD_05,Other,Other,
HOLD_06,Undetermined,Undetermined,
HOLD_07,Rice_Blast,Rice_Blast,
HOLD_08,Rice_Blast,Rice_Blast,
HOLD_09,False_Smut,False_Smut,
HOLD_10,Rice_Root_Nematode,Rice_Root_Nematode,
HOLD_11,Rice_Blast,Rice_Blast,
HOLD_12,False_Smut,False_Smut,
HOLD_13,Bacterial_Leaf_Blight,Bacterial_Leaf_Blight,
HOLD_14,Rice_Tungro_Virus,Undetermined,
HOLD_15,False_Smut,False_Smut,
HOLD_16,Rice_Tungro_Virus,Rice_Tungro_Virus,
HOLD_18,Rice_Blast,Rice_Blast,
HOLD_20,Rice_Root_Nematode,Rice_Root_Nematode,
