symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,diagnosis,provenance
Brown_Nymphs,Yellow_Nymphs,Eggs_On_Plant,Broad_Leaf_Damage,Severed_Panicles,Leaf_Chewing_Damage,"insect damage, out of scope",rule_derived
Hook_Like_Root_Swelling,Root_Knot_Swelling,Deformed_Roots,Necrotic_Spots,Yellowing_Leaves,Stunted_Growth,Rice_Root_Nematode,rule_derived
Frass_In_Stem,Bore_Holes_In_Stem,Deadheart_Seedling,Easily_Pulled_Tillers,Whitehead_Empty_Panicles,,"insect damage, out of scope",rule_derived
Nymphs_Present,Adult_Insects_Present,Leaf_Margin_Sap_Sucking,Rotten_Panicles,Random_Feeding_Pattern,Empty_Grains,"insect damage, out of scope",rule_derived
Nymphs_Present,Adult_Insects_Present,Plant_Yellowing,Hopperburn_Drying,Circular_Hopperburn_Patches,Blackened_Feeding_Punctures,"insect damage, out of scope",rule_derived
Yellowing_Leaf_Veins,Leaf_Discoloration_Yellow,Yellowing_Leaf_Tips,Uniform_Field_Infection,Rapid_Disease_Spread,,Bacterial_Leaf_Blight,rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Uniform_Field_Infection,Rainy_Season_Outbreak,Slight_Panicle_Infection,Milky_Stage_Vulnerability,False_Smut,rule_derived
Panicle_Neck_Rot,Diamond_Shaped_Lesions,Uniform_Field_Infection,Infected_Seedlings,,,Rice_Blast,rule_derived
Brown_Planthopper_Present,Necrotic_Spots,Severe_Stunting,No_Panicle_Formation,,,Rice_Grassy_Stunt,rule_derived
Green_Leafhopper_Present,Necrotic_Spots,Yellowing_Leaves,Whitehead_Empty_Panicles,,,Rice_Tungro_Virus,rule_derived
Severed_Panicles,Leaf_Chewing_Damage,,,,,"insect damage, out of scope",rule_derived
Hook_Like_Root_Swelling,Root_Knot_Swelling,,,,,Rice_Root_Nematode,rule_derived
Frass_In_Stem,Bore_Holes_In_Stem,,,,,"insect damage, out of scope",rule_derived
Nymphs_Present,Adult_Insects_Present,Empty_Grains,,,,"insect damage, out of scope",rule_derived
Hopperburn_Drying,Circular_Hopperburn_Patches,,,,,"insect damage, out of scope",rule_derived
Yellowing_Leaf_Veins,Uniform_Field_Infection,,,,,Bacterial_Leaf_Blight,rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,,,,,False_Smut,rule_derived
Panicle_Neck_Rot,Diamond_Shaped_Lesions,,,,,Rice_Blast,rule_derived
Brown_Planthopper_Present,Severe_Stunting,,,,,Rice_Grassy_Stunt,rule_derived
Green_Leafhopper_Present,Yellowing_Leaves,,,,,Rice_Tungro_Virus,rule_derived
Yellowing_Leaf_Veins,Uniform_Field_Infection,Brown_Planthopper_Present,Severe_Stunting,,,Bacterial_Leaf_Blight and Rice_Grassy_Stunt,rule_derived
Brown_Planthopper_Present,Severe_Stunting,Green_Leafhopper_Present,Yellowing_Leaves,,,Rice_Grassy_Stunt and Rice_Tungro_Virus,rule_derived
Hook_Like_Root_Swelling,Root_Knot_Swelling,Brown_Planthopper_Present,Severe_Stunting,,,Rice_Grassy_Stunt and Rice_Root_Nematode,rule_derived
Severed_Panicles,Leaf_Chewing_Damage,Frass_In_Stem,Bore_Holes_In_Stem,,,"insect damage, out of scope",rule_derived
Rusty_Grain_Balls,Blackened_Grain_Balls,Yellowing_Leaf_Veins,Uniform_Field_Infection,,,Bacterial_Leaf_Blight and False_Smut,rule_derived
Panicle_Neck_Rot,Diamond_Shaped_Lesions,Yellowing_Leaf_Veins,Uniform_Field_Infection,,,Bacterial_Leaf_Blight and Rice_Blast,rule_derived
Nymphs_Present,Adult_Insects_Present,Empty_Grains,Severed_Panicles,Leaf_Chewing_Damage,,"insect damage, out of scope",rule_derived
