symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,diagnosis
Bore_Holes_In_Stem,Brown_Planthopper_Present,Rainy_Season_Outbreak,Severe_Stunting,Rusty_Grain_Balls,Easily_Pulled_Tillers,Rice_Grassy_Stunt
Deformed_Roots,Diamond_Shaped_Lesions,Uniform_Field_Infection,Rapid_Disease_Spread,Panicle_Neck_Rot,Rusty_Grain_Balls,Rice_Blast
Green_Leafhopper_Present,Necrotic_Spots,Circular_Hopperburn_Patches,Blackened_Feeding_Punctures,Yellowing_Leaves,Severed_Panicles,Rice_Tungro_Virus
Panicle_Neck_Rot,Eggs_On_Plant,Hook_Like_Root_Swelling,Infected_Seedlings,Diamond_Shaped_Lesions,Broad_Leaf_Damage,Rice_Blast
Adult_Insects_Present,Random_Feeding_Pattern,Empty_Grains,Nymphs_Present,Leaf_Margin_Sap_Sucking,Hopperburn_Drying,Rice_Bug
Brown_Nymphs,No_Panicle_Formation,Brown_Planthopper_Present,Leaf_Margin_Sap_Sucking,Severe_Stunting,Yellowing_Leaves,Rice_Grassy_Stunt
Stunted_Growth,Uniform_Field_Infection,Yellowing_Leaf_Tips,Yellowing_Leaf_Veins,Rusty_Grain_Balls,Frass_In_Stem,Bacterial_Leaf_Blight
Bore_Holes_In_Stem,Leaf_Margin_Sap_Sucking,Diamond_Shaped_Lesions,Easily_Pulled_Tillers,Frass_In_Stem,Empty_Grains,Rice_Stem_Borer
Rusty_Grain_Balls,Frass_In_Stem,Easily_Pulled_Tillers,Bore_Holes_In_Stem,Brown_Planthopper_Present,Leaf_Chewing_Damage,Rice_Stem_Borer
Circular_Hopperburn_Patches,Plant_Yellowing,Milky_Stage_Vulnerability,Adult_Insects_Present,Empty_Grains,Hopperburn_Drying,Brown_Planthopper
Uniform_Field_Infection,Rapid_Disease_Spread,Yellowing_Leaf_Veins,Leaf_Discoloration_Yellow,Brown_Nymphs,Rusty_Grain_Balls,Bacterial_Leaf_Blight
Hook_Like_Root_Swelling,Root_Knot_Swelling,Yellowing_Leaf_Veins,Necrotic_Spots,Deformed_Roots,Empty_Grains,Rice_Root_Nematode
Root_Knot_Swelling,Hopperburn_Drying,Milky_Stage_Vulnerability,Hook_Like_Root_Swelling,Stunted_Growth,Yellowing_Leaves,Rice_Root_Nematode
Yellowing_Leaf_Veins,Easily_Pulled_Tillers,Severe_Stunting,Uniform_Field_Infection,Blackened_Grain_Balls,Brown_Planthopper_Present,Bacterial_Leaf_Blight and Rice_Grassy_Stunt
Adult_Insects_Present,Panicle_Neck_Rot,Random_Feeding_Pattern,Diamond_Shaped_Lesions,Yellowing_Leaf_Tips,Stunted_Growth,Rice_Blast
Blackened_Grain_Balls,Rusty_Grain_Balls,Nymphs_Present,Whitehead_Empty_Panicles,Milky_Stage_Vulnerability,Deadheart_Seedling,False_Smut
Severe_Stunting,Rotten_Panicles,Deformed_Roots,Brown_Planthopper_Present,Root_Knot_Swelling,Hook_Like_Root_Swelling,Rice_Grassy_Stunt and Rice_Root_Nematode
Brown_Planthopper_Present,Severe_Stunting,Milky_Stage_Vulnerability,Green_Leafhopper_Present,Leaf_Margin_Sap_Sucking,Yellowing_Leaves,Rice_Grassy_Stunt and Rice_Tungro_Virus
Leaf_Chewing_Damage,Infected_Seedlings,Eggs_On_Plant,Broad_Leaf_Damage,Hook_Like_Root_Swelling,Brown_Nymphs,Grasshopper
Bore_Holes_In_Stem,Adult_Insects_Present,Eggs_On_Plant,Frass_In_Stem,Deadheart_Seedling,Rapid_Disease_Spread,Rice_Stem_Borer
