threat,observation,p_sign_given_threat,elicitation,source_phrase,citation,doi,locator,note
Rice_Root_Nematode,Hook_Like_Root_Swelling,0.90,qualitative,"Characteristic hook-shaped galls (root swellings), mainly formed at the root tips of infected plants.","Mantelin, S., Bellafiore, S. & Willig, E.B. (2017). Meloidogyne graminicola: a major threat to rice agriculture. Molecular Plant Pathology, 18(1), 3-15.",10.1111/mpp.12394,Abstract,Characteristic root tip hook galling diagnostic of M. graminicola
Rice_Root_Nematode,Root_Knot_Swelling,0.90,qualitative,"Characteristic hook-shaped galls (root swellings), mainly formed at the root tips of infected plants.","Mantelin, S., Bellafiore, S. & Willig, E.B. (2017). Meloidogyne graminicola: a major threat to rice agriculture. Molecular Plant Pathology, 18(1), 3-15.",10.1111/mpp.12394,Abstract,Root swelling and root knot formation
Rice_Root_Nematode,Deformed_Roots,0.70,qualitative,Galls are formed along the root axis or at the root tips which become hooked and deformed.,"Bridge, J., Plowright, R.A. & Peng, D. (2005). Nematode Parasites of Rice. In Plant Parasitic Nematodes in Subtropical and Tropical Agriculture, 2nd ed., CABI Publishing, pp. 87-130.",10.1079/9780851997278.0087,p. 91,Root system deformation caused by apical galling
Rice_Root_Nematode,Stunted_Growth,0.70,qualitative,"Alteration of the root vascular system causes disruption of water and nutrient transport, stunting, chlorosis and loss of vigour, resulting in poor growth and reproduction of the plants with substantial yield losses in crops.","Mantelin, S., Bellafiore, S. & Willig, E.B. (2017). Meloidogyne graminicola: a major threat to rice agriculture. Molecular Plant Pathology, 18(1), 3-15.",10.1111/mpp.12394,Abstract,Above-ground stunting secondary to root damage
Rice_Root_Nematode,Yellowing_Leaves,0.70,qualitative,"Alteration of the root vascular system causes disruption of water and nutrient transport, stunting, chlorosis and loss of vigour, resulting in poor growth and reproduction of the plants with substantial yield losses in crops.","Mantelin, S., Bellafiore, S. & Willig, E.B. (2017). Meloidogyne graminicola: a major threat to rice agriculture. Molecular Plant Pathology, 18(1), 3-15.",10.1111/mpp.12394,Abstract,Foliar chlorosis and leaf yellowing
Rice_Grassy_Stunt,Severe_Stunting,0.90,qualitative,"Typical symptoms induced by RGSV infection are leaf yellowing (chlorosis), stunting, and excess tillering (branching) (Shikata et al., 1980)","Satoh, K., Yoneyama, K., Kondoh, H., Shimizu, T., Sasaya, T., Choi, I.R., Yoneyama, K., Omura, T. & Kikuchi, S. (2013). Relationship between gene responses and symptoms induced by Rice grassy stunt virus. Frontiers in Microbiology, 4, 313.",10.3389/fmicb.2013.00313,Introduction,Pronounced dwarfing and stunting diagnostic of RGSV
Rice_Grassy_Stunt,Excessive_Tillering,0.90,qualitative,"Chlorosis and stunting are also observed in plants infected with other tenuiviruses, whereas excess tillering is a symptom specific to RGSV infection.","Satoh, K., Yoneyama, K., Kondoh, H., Shimizu, T., Sasaya, T., Choi, I.R., Yoneyama, K., Omura, T. & Kikuchi, S. (2013). Relationship between gene responses and symptoms induced by Rice grassy stunt virus. Frontiers in Microbiology, 4, 313.",10.3389/fmicb.2013.00313,Introduction,Hallmark specific branching symptom of grassy stunt
Rice_Grassy_Stunt,Brown_Planthopper_Present,0.70,qualitative,"RGSV is a member of the genus Tenuivirus, and is transmitted by brown planthopper (BPH, Nilaparvata lugens) and by two other Nilaparvata spp","Satoh, K., Yoneyama, K., Kondoh, H., Shimizu, T., Sasaya, T., Choi, I.R., Yoneyama, K., Omura, T. & Kikuchi, S. (2013). Relationship between gene responses and symptoms induced by Rice grassy stunt virus. Frontiers in Microbiology, 4, 313.",10.3389/fmicb.2013.00313,Introduction,Obligate insect vector Nilaparvata lugens
Rice_Grassy_Stunt,Yellowing_Leaves,0.70,qualitative,"Short, erect, and narrow leaves that are pale green or pale yellow in color","Wang, P., Liu, J., Lyu, Y., Huang, Z., Zhang, X., Sun, B., Li, P., Jing, X., Li, H. & Zhang, C. (2022). A Review of Vector-Borne Rice Viruses. Viruses, 14(10), 2258.",10.3390/v14102258,Table 2,Pale yellow foliar discoloration
Rice_Grassy_Stunt,No_Panicle_Formation,0.70,qualitative,"Infected plants are severely stunted, produce excessive tillers, and bear no panicles or small panicles with unfilled grains.","Ou, S.H. (1985). Rice Diseases, 2nd edition. Commonwealth Mycological Institute, Kew, Surrey, UK.",,p. 44,Suppression of productive panicles / failure to head
