case_id,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6
FIELD_01,Necrotic_Spots,Water_Soaked_Lesions,,,,
FIELD_02,Empty_Grains,Panicle_Neck_Rot,,,,
FIELD_03,Yellowing_Leaf_Veins,Leaf_Discoloration_Yellow,Yellowing_Leaf_Tips,Water_Soaked_Lesions,Bacterial_Ooze,Leaf_Desiccation
FIELD_04,Hook_Like_Root_Swelling,Infected_Seedlings,,,,
FIELD_05,Rusty_Grain_Balls,Blackened_Grain_Balls,,,,
FIELD_06,Necrotic_Spots,Water_Soaked_Lesions,Grain_Discoloration,,,
FIELD_07,Necrotic_Spots,Leaf_Sheath_Lesions,,,,
FIELD_08,Infected_Seedlings,,,,,
FIELD_09,Yellowing_Leaves,Leaf_Mottling,,,,
FIELD_10,Yellowing_Leaves,Leaf_Mottling,,,,
FIELD_11,Chlorotic_Streaks,,,,,
FIELD_12,Yellowing_Leaves,Leaf_Mottling,,,,
FIELD_13,Necrotic_Spots,,,,,
FIELD_14,Necrotic_Spots,,,,,
FIELD_15,Rotten_Panicles,,,,,
FIELD_16,Yellowing_Leaves,Water_Soaked_Lesions,Leaf_Desiccation,Leaf_Wilting,,
FIELD_17,Stunted_Growth,Leaf_Mottling,,,,
FIELD_18,Empty_Grains,Grain_Discoloration,,,,
FIELD_19,Stunted_Growth,Yellowing_Leaf_Tips,Whitened_Leaf_Tips,,,
FIELD_20,Water_Soaked_Lesions,Bacterial_Ooze,Brown_Streaks,,,
FIELD_21,Water_Soaked_Lesions,Bacterial_Ooze,Brown_Streaks,,,
FIELD_22,Grain_Discoloration,,,,,
FIELD_23,Leaf_Sheath_Lesions,Stem_Rot_Lesions,,,,
FIELD_25,Infected_Seedlings,Leaf_Wilting,Discolored_Roots,,,
FIELD_26,Necrotic_Spots,Water_Soaked_Lesions,Stem_Rot_Lesions,,,
FIELD_27,Yellowing_Leaves,Leaf_Mottling,,,,
FIELD_28,Necrotic_Spots,,,,,
FIELD_29,Water_Soaked_Lesions,Bacterial_Ooze,Chlorotic_Streaks,,,
FIELD_30,Yellowing_Leaves,Leaf_Mottling,,,,
FIELD_31,Infected_Seedlings,Water_Soaked_Lesions,Leaf_Sheath_Lesions,Brown_Streaks,,
FIELD_32,Yellowing_Leaf_Tips,,,,,
FIELD_33,Hook_Like_Root_Swelling,Yellowing_Leaves,,,,
FIELD_34,Hook_Like_Root_Swelling,Yellowing_Leaves,Stunted_Growth,,,
FIELD_35,Leaf_Discoloration_Yellow,Yellowing_Leaf_Tips,Water_Soaked_Lesions,,,
FIELD_36,Leaf_Discoloration_Yellow,Yellowing_Leaf_Tips,Water_Soaked_Lesions,,,
FIELD_51,Severe_Stunting,Orange_Leaf_Discoloration,,,,
FIELD_52,Yellowing_Leaves,Stunted_Growth,Green_Leafhopper_Present,Orange_Leaf_Discoloration,,
FIELD_53,Yellowing_Leaves,Severe_Stunting,Excessive_Tillering,,,
HOLD_01,Leaf_Discoloration_Yellow,Yellowing_Leaf_Tips,Water_Soaked_Lesions,,,
HOLD_02,Hook_Like_Root_Swelling,Yellowing_Leaves,,,,
HOLD_03,Empty_Grains,Rusty_Grain_Balls,Blackened_Grain_Balls,,,
HOLD_04,Stunted_Growth,Orange_Leaf_Discoloration,,,,
HOLD_05,Yellowing_Leaves,Stunted_Growth,,,,
HOLD_06,Yellowing_Leaves,,,,,
HOLD_07,Diamond_Shaped_Lesions,,,,,
HOLD_08,Diamond_Shaped_Lesions,,,,,
HOLD_09,Rusty_Grain_Balls,Blackened_Grain_Balls,,,,
HOLD_10,Hook_Like_Root_Swelling,,,,,
HOLD_11,Diamond_Shaped_Lesions,,,,,
HOLD_12,Rusty_Grain_Balls,Blackened_Grain_Balls,,,,
HOLD_13,Water_Soaked_Lesions,,,,,
HOLD_14,Necrotic_Spots,Yellowing_Leaves,Severe_Stunting,,,
HOLD_15,Rusty_Grain_Balls,,,,,
HOLD_16,Yellowing_Leaves,Orange_Leaf_Discoloration,,,,
HOLD_18,Diamond_Shaped_Lesions,,,,,
HOLD_20,Root_Knot_Swelling,Yellowing_Leaves,Stunted_Growth,,,
